,items,support,ordered_statistics
35,frozenset({'Midnight Blue'}),0.1407035175879397,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Midnight Blue'}), confidence=0.1407035175879397, lift=1.0)]"
36,frozenset({'Mint Cream'}),0.020100502512562814,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Mint Cream'}), confidence=0.020100502512562814, lift=1.0)]"
37,frozenset({'Navy Blue'}),0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Navy Blue'}), confidence=0.017587939698492462, lift=1.0)]"
38,frozenset({'Orange'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Orange'}), confidence=0.01256281407035176, lift=1.0)]"
39,frozenset({'Pale Violet Red'}),0.03015075376884422,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Pale Violet Red'}), confidence=0.03015075376884422, lift=1.0)]"
40,frozenset({'Peru'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Peru'}), confidence=0.010050251256281407, lift=1.0)]"
41,frozenset({'Pink'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Pink'}), confidence=0.010050251256281407, lift=1.0)]"
42,frozenset({'Rebecca Purple'}),0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Rebecca Purple'}), confidence=0.01507537688442211, lift=1.0)]"
43,frozenset({'Red'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Red'}), confidence=0.010050251256281407, lift=1.0)]"
44,frozenset({'Rosy Brown'}),0.020100502512562814,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Rosy Brown'}), confidence=0.020100502512562814, lift=1.0)]"
45,frozenset({'Royal Blue'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Royal Blue'}), confidence=0.01256281407035176, lift=1.0)]"
46,frozenset({'Saddle Brown'}),0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Saddle Brown'}), confidence=0.01507537688442211, lift=1.0)]"
47,frozenset({'Sandy Brown'}),0.020100502512562814,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Sandy Brown'}), confidence=0.020100502512562814, lift=1.0)]"
48,frozenset({'Sienna'}),0.032663316582914576,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Sienna'}), confidence=0.032663316582914576, lift=1.0)]"
49,frozenset({'Sky Blue'}),0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Sky Blue'}), confidence=0.017587939698492462, lift=1.0)]"
50,frozenset({'Slate Gray'}),0.18090452261306533,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Slate Gray'}), confidence=0.18090452261306533, lift=1.0)]"
51,frozenset({'Steel Blue'}),0.035175879396984924,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Steel Blue'}), confidence=0.035175879396984924, lift=1.0)]"
52,frozenset({'Tan'}),0.02763819095477387,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Tan'}), confidence=0.02763819095477387, lift=1.0)]"
53,frozenset({'Teal'}),0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Teal'}), confidence=0.017587939698492462, lift=1.0)]"
54,frozenset({'Thistle'}),0.032663316582914576,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Thistle'}), confidence=0.032663316582914576, lift=1.0)]"
55,frozenset({'Tomato'}),0.03015075376884422,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Tomato'}), confidence=0.03015075376884422, lift=1.0)]"
56,frozenset({'Web Gray'}),0.06030150753768844,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Web Gray'}), confidence=0.06030150753768844, lift=1.0)]"
57,frozenset({'Web Maroon'}),0.032663316582914576,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Web Maroon'}), confidence=0.032663316582914576, lift=1.0)]"
58,frozenset({'Web Purple'}),0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Web Purple'}), confidence=0.01507537688442211, lift=1.0)]"
59,frozenset({'White'}),0.39195979899497485,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'White'}), confidence=0.39195979899497485, lift=1.0)]"
60,frozenset({'White Smoke'}),0.07035175879396985,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'White Smoke'}), confidence=0.07035175879396985, lift=1.0)]"
